icao,iata
AGAF,AFT
AGAR,RNA
AGAT,ATD
AGBA,VEV
AGBT,BPF
AGEV,GEF
AGGA,AKS
AGGB,BNY
AGGC,CHY
AGGE,BAS
AGGF,FRE
AGGH,HIR
AGGI,MBU
AGGJ,AVU
AGGK,IRA
AGGL,SCZ
AGGM,MUA
AGGN,GZO
AGGO,MNY
AGGP,PRS
AGGQ,OTV
AGGR,RNL
AGGS,EGM
AGGT,NNB
AGGU,RUS
AGGV,VAO
AGGY,XYA
AGJO,JJA
AGKG,KGE
AGKU,KUE
AGKW,KWS
AGNA,NAZ
AGOK,GTA
AGRC,RIN
AGRM,RBV
AGTI,TLG
ANYN,INU
ATNR,NOM
AYAA,AMF
AYAE,UAE
AYAF,AFR
AYAG,AUP
AYAI,ATP
AYAK,AIH
AYAM,AMU
AYAN,ADC
AYAO,AIE
AYAQ,KPM
AYAT,AUJ
AYAW,AWB
AYAX,AEK
AYAY,AYU
AYBA,VMU
AYBC,BCP
AYBD,BNM
AYBF,BMZ
AYBG,BDZ
AYBH,BSP
AYBI,BWP
AYBK,BUA
AYBL,BAA
AYBM,OPU
AYBO,BMH
AYBP,BPD
AYBQ,BPK
AYBR,BRP
AYBU,BUL
AYBZ,XBN
AYCB,CVB
AYCG,CGC
AYCH,CMU
AYCS,SQT
AYDB,DBP
AYDE,DER
AYDI,BNT
AYDK,MDM
AYDL,KPF
AYDN,DNU
AYDO,DOI
AYDR,DOO
AYDU,DAU
AYEA,KRU
AYEB,EMS
AYED,XYR
AYEE,EMI
AYEF,EFG
AYEH,MHY
AYEL,EPT
AYEN,EGA
AYEO,EMO
AYER,ERU
AYET,BOT
AYEV,ERE
AYEW,SWE
AYFA,FNE
AYFE,FRQ
AYFI,FIN
AYFR,FAQ
AYFU,FUM
AYGA,GKA
AYGC,GEW
AYGF,GUG
AYGG,GRL
AYGI,GAR
AYGJ,GAZ
AYGL,GOE
AYGN,GUR
AYGP,GAP
AYGR,PNP
AYGS,GBC
AYGT,GMI
AYGU,AKG
AYGV,GVI
AYGX,GOC
AYHB,HBD
AYHE,HNI
AYHF,HYF
AYHH,HNN
AYHK,HKN
AYHO,HIT
AYHU,HWA
AYIA,IIS
AYID,IDN
AYII,IMN
AYIM,KGM
AYIO,IMD
AYIQ,KIE
AYIW,WSA
AYIX,WIU
AYIY,MPX
AYJO,KGH
AYJS,JOP
AYKA,LSA
AYKB,KBM
AYKC,KDR
AYKD,KMF
AYKG,KPA
AYKH,KAQ
AYKI,UNG
AYKJ,KNE
AYKK,KRI
AYKM,KMA
AYKO,KKD
AYKQ,KGW
AYKR,KRX
AYKT,KZF
AYKU,KUQ
AYKV,KVG
AYKW,KWO
AYKY,LNV
AYLB,LAB
AYLG,KEG
AYLI,KII
AYLL,LGN
AYLN,LNM
AYLO,LWI
AYLP,LPN
AYLS,LNG
AYLT,LNC
AYLU,LMI
AYLX,LSJ
AYMA,MRM
AYMB,OBM
AYMC,MYX
AYMD,MAG
AYMH,HGU
AYMI,MXK
AYMJ,MPG
AYML,GUV
AYMN,MDU
AYMO,MAS
AYMP,MLQ
AYMQ,MQO
AYMR,MXH
AYMS,MIS
AYMV,MKN
AYMW,MWG
AYMZ,MPU
AYNA,NKN
AYNB,KEX
AYNC,NDN
AYND,AUI
AYNE,GBF
AYNI,NUG
AYNJ,NDI
AYNM,KSB
AYNN,KDP
AYNO,NMN
AYNS,BXZ
AYNU,UKU
AYNX,ATN
AYNY,NBA
AYNZ,LAE
AYOB,OBX
AYOE,KGB
AYOF,OKV
AYOG,OGE
AYOJ,OKP
AYOK,HOC
AYOL,KQL
AYOM,OSE
AYOO,KOM
AYOP,KSP
AYOQ,KCJ
AYOV,OLQ
AYOW,KDE
AYPB,PLE
AYPC,PGB
AYPD,PDI
AYPE,APR
AYPG,PGN
AYPJ,PMP
AYPO,MPF
AYPQ,PMN
AYPY,POM
AYQA,KRJ
AYQL,TLP
AYQO,SPH
AYQQ,ONB
AYQS,SXA
AYRA,KIQ
AYRE,RBP
AYRG,RMN
AYRI,KMR
AYRK,RKU
AYRM,MWI
AYRO,KOR
AYSA,SBE
AYSD,SDI
AYSE,NIS
AYSF,SFU
AYSG,SIL
AYSH,SBV
AYSJ,SIM
AYSK,SGK
AYSL,SXH
AYSO,SBC
AYSP,SMH
AYSS,TDS
AYSU,SKC
AYSV,SXW
AYSW,SWG
